what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1308323108994
arch,sysinfo,,,"x86",1308323108994
ws,sysinfo,,,"win32",1308323108994
locale,sysinfo,,,"pt_BR",1308323108994
processors,sysinfo,,,"2",1308323108994
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308323108994
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1308323108994
java.specification.name,sysinfo,,,"Java Platform API Specification",1308323108994
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308323108994
java.specification.version,sysinfo,,,"1.6",1308323108994
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308323108994
java.version,sysinfo,,,"1.6.0_24",1308323108994
java.vm.info,sysinfo,,,"mixed mode, sharing",1308323108994
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1308323108994
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308323108994
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308323108994
java.vm.specification.version,sysinfo,,,"1.0",1308323108994
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308323108994
java.vm.version,sysinfo,,,"19.1-b02",1308323108994
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1308323109629
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1308323110267
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1308323110332
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1308323110484
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1308323111073
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1308323111193
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1308323111514
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1308323111710
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1308323111996
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1308323112246
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1308323112379
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308323112900
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1308323113247
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1308323113432
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1308323113434
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1308323113435
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1308323114539
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1308323114977
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1308323115362
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1308323115422
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1308323115545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308323153953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308323161072
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308323162711
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1308323162888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308323162902
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1308323163055
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1308323163218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308323163260
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308323163412
